run_id,steps,lr,N,PSNR (dB),SSIM,LPIPS,FVD,FID
S2_LR1e3,2,1e-03,200,18.052,0.6369,0.3461,325.9,62.7
S2_LR5e3,2,5e-03,200,18.113,0.6372,0.3452,320.9,61.8
S2_LR1e2,2,1e-02,200,18.126,0.6390,0.3448,335.6,61.6
S5_LR1e3,5,1e-03,200,18.105,0.6370,0.3454,317.5,62.3
S5_LR5e3,5,5e-03,200,18.053,0.6370,0.3466,316.7,63.1
S5_LR1e2,5,1e-02,200,17.900,0.6330,0.3513,319.7,63.6
S10_LR1e3,10,1e-03,200,18.086,0.6370,0.3454,316.5,61.5
S10_LR5e3,10,5e-03,200,17.929,0.6328,0.3506,331.2,63.4
S10_LR1e2,10,1e-02,200,17.991,0.6332,0.3477,331.4,63.8
S20_LR1e3,20,1e-03,200,18.022,0.6366,0.3460,318.6,62.0
S20_LR5e3,20,5e-03,200,17.908,0.6330,0.3506,318.9,64.0
S20_LR1e2,20,1e-02,200,17.877,0.6262,0.3538,334.3,65.3
ORACLE (best PSNR/video),—,—,—,18.744,0.6503,0.3297,383.9,—
