target,config,picks,pct
vbench_total,S20_LR1e2,57,28.50
vbench_total,S10_LR1e2,26,13.00
vbench_total,S20_LR5e3,21,10.50
vbench_total,S5_LR1e2,17,8.50
vbench_total,S2_LR1e2,13,6.50
vbench_total,S10_LR1e3,13,6.50
vbench_total,S10_LR5e3,13,6.50
vbench_total,S5_LR5e3,13,6.50
vbench_total,S2_LR5e3,13,6.50
vbench_total,S5_LR1e3,6,3.00
vbench_total,S20_LR1e3,4,2.00
vbench_total,S2_LR1e3,4,2.00
subject_consistency,S20_LR1e2,46,23.00
subject_consistency,S20_LR5e3,21,10.50
subject_consistency,S10_LR1e2,19,9.50
subject_consistency,S2_LR1e2,17,8.50
subject_consistency,S5_LR1e2,16,8.00
subject_consistency,S10_LR5e3,15,7.50
subject_consistency,S5_LR5e3,13,6.50
subject_consistency,S5_LR1e3,13,6.50
subject_consistency,S2_LR1e3,12,6.00
subject_consistency,S20_LR1e3,11,5.50
subject_consistency,S2_LR5e3,11,5.50
subject_consistency,S10_LR1e3,6,3.00
background_consistency,S20_LR1e2,34,17.00
background_consistency,S10_LR1e2,28,14.00
background_consistency,S20_LR5e3,21,10.50
background_consistency,S5_LR1e2,18,9.00
background_consistency,S10_LR1e3,16,8.00
background_consistency,S2_LR1e2,15,7.50
background_consistency,S5_LR1e3,14,7.00
background_consistency,S5_LR5e3,13,6.50
background_consistency,S2_LR1e3,13,6.50
background_consistency,S10_LR5e3,12,6.00
background_consistency,S2_LR5e3,9,4.50
background_consistency,S20_LR1e3,7,3.50
aesthetic_quality,S20_LR1e2,45,22.50
aesthetic_quality,S10_LR1e2,24,12.00
aesthetic_quality,S10_LR5e3,20,10.00
aesthetic_quality,S5_LR5e3,17,8.50
aesthetic_quality,S20_LR5e3,15,7.50
aesthetic_quality,S2_LR1e2,15,7.50
aesthetic_quality,S5_LR1e3,15,7.50
aesthetic_quality,S10_LR1e3,11,5.50
aesthetic_quality,S20_LR1e3,11,5.50
aesthetic_quality,S2_LR5e3,10,5.00
aesthetic_quality,S5_LR1e2,9,4.50
aesthetic_quality,S2_LR1e3,8,4.00
motion_smoothness,S20_LR1e2,47,23.50
motion_smoothness,S10_LR1e2,28,14.00
motion_smoothness,S5_LR1e2,18,9.00
motion_smoothness,S2_LR1e3,16,8.00
motion_smoothness,S2_LR5e3,15,7.50
motion_smoothness,S20_LR5e3,14,7.00
motion_smoothness,S5_LR1e3,12,6.00
motion_smoothness,S5_LR5e3,12,6.00
motion_smoothness,S2_LR1e2,11,5.50
motion_smoothness,S10_LR1e3,11,5.50
motion_smoothness,S20_LR1e3,9,4.50
motion_smoothness,S10_LR5e3,7,3.50
dynamic_degree,S2_LR1e3,193,96.50
dynamic_degree,S2_LR5e3,2,1.00
dynamic_degree,S20_LR1e3,1,0.50
dynamic_degree,S20_LR5e3,1,0.50
dynamic_degree,S5_LR5e3,1,0.50
dynamic_degree,S2_LR1e2,1,0.50
dynamic_degree,S20_LR1e2,1,0.50
imaging_quality,S20_LR1e2,57,28.50
imaging_quality,S10_LR1e2,28,14.00
imaging_quality,S20_LR5e3,21,10.50
imaging_quality,S5_LR1e2,18,9.00
imaging_quality,S10_LR5e3,14,7.00
imaging_quality,S2_LR1e2,13,6.50
imaging_quality,S10_LR1e3,13,6.50
imaging_quality,S2_LR5e3,12,6.00
imaging_quality,S5_LR5e3,11,5.50
imaging_quality,S5_LR1e3,6,3.00
imaging_quality,S2_LR1e3,4,2.00
imaging_quality,S20_LR1e3,3,1.50
temporal_flickering,S20_LR1e2,58,29.00
temporal_flickering,S10_LR1e2,31,15.50
temporal_flickering,S20_LR5e3,17,8.50
temporal_flickering,S2_LR1e3,14,7.00
temporal_flickering,S5_LR1e3,14,7.00
temporal_flickering,S20_LR1e3,13,6.50
temporal_flickering,S5_LR1e2,12,6.00
temporal_flickering,S10_LR5e3,10,5.00
temporal_flickering,S5_LR5e3,8,4.00
temporal_flickering,S10_LR1e3,8,4.00
temporal_flickering,S2_LR5e3,8,4.00
temporal_flickering,S2_LR1e2,7,3.50
