feature,bucket,n,mean,median
NOTTA_psnr,NOTTA,345,18.63772488115942,18.052004
NOTTA_psnr,AdaSteer,446,17.93317983408072,17.377167
NOTTA_psnr,LoRA,208,16.750571774038463,15.688671
caption_len_chars,NOTTA,345,202.13333333333333,194.0
caption_len_chars,AdaSteer,446,202.67040358744396,196.0
caption_len_chars,LoRA,208,194.87019230769232,182.5
caption_len_words,NOTTA,345,38.31304347826087,37.0
caption_len_words,AdaSteer,446,38.412556053811656,38.0
caption_len_words,LoRA,208,36.92788461538461,35.0
mean_flow,NOTTA,345,1.9580070028985508,0.708834
mean_flow,AdaSteer,446,1.8234747264573992,0.6603835
mean_flow,LoRA,208,2.7306022980769225,0.9283365
